year,persons_charged,sgc_code
2010,1,61
2011,1,61
2012,3,61
2013,2,61
2014,2,61
2015,3,61
2016,3,61
2017,5,61
2018,6,61
2019,2,61
2020,6,61
2021,1,61
2022,3,61
2010,55,59
2011,59,59
2012,41,59
2013,35,59
2014,56,59
2015,62,59
2016,46,59
2017,57,59
2018,46,59
2019,43,59
2020,40,59
2021,44,59
2022,51,59
2010,3,10
2011,4,10
2012,1,10
2013,5,10
2014,0,10
2015,2,10
2016,9,10
2017,2,10
2018,2,10
2019,4,10
2020,5,10
2021,7,10
2022,1,10
2010,0,60
2011,0,60
2012,0,60
2013,0,60
2014,2,60
2015,1,60
2016,3,60
2017,4,60
2018,1,60
2019,1,60
2020,0,60
2021,3,60
2022,0,60
2010,0,11
2011,0,11
2012,0,11
2013,0,11
2014,2,11
2015,1,11
2016,0,11
2017,2,11
2018,0,11
2019,1,11
2020,0,11
2021,1,11
2022,0,11
2010,71,24
2011,66,24
2012,70,24
2013,52,24
2014,41,24
2015,52,24
2016,46,24
2017,60,24
2018,56,24
2019,47,24
2020,76,24
2021,58,24
2022,71,24
2010,45,47
2011,42,47
2012,33,47
2013,34,47
2014,29,47
2015,50,47
2016,50,47
2017,46,47
2018,30,47
2019,52,47
2020,74,47
2021,72,47
2022,67,47
2010,64,48
2011,89,48
2012,72,48
2013,79,48
2014,80,48
2015,108,48
2016,94,48
2017,102,48
2018,73,48
2019,80,48
2020,112,48
2021,89,48
2022,101,48
2010,195,35
2011,166,35
2012,145,35
2013,167,35
2014,147,35
2015,184,35
2016,173,35
2017,184,35
2018,225,35
2019,198,35
2020,232,35
2021,281,35
2022,269,35
2010,18,12
2011,14,12
2012,12,12
2013,11,12
2014,11,12
2015,10,12
2016,10,12
2017,13,12
2018,10,12
2019,5,12
2020,18,12
2021,11,12
2022,12,12
2010,46,46
2011,62,46
2012,63,46
2013,58,46
2014,48,46
2015,42,46
2016,56,46
2017,72,46
2018,64,46
2019,78,46
2020,67,46
2021,64,46
2022,93,46
2010,7,62
2011,4,62
2012,2,62
2013,2,62
2014,4,62
2015,1,62
2016,1,62
2017,7,62
2018,6,62
2019,8,62
2020,3,62
2021,2,62
2022,1,62
2010,8,13
2011,5,13
2012,1,13
2013,6,13
2014,7,13
2015,12,13
2016,12,13
2017,6,13
2018,8,13
2019,9,13
2020,13,13
2021,7,13
2022,17,13
